category_id,category_title,category_description,topup_id,topup_title,topup_description,topup_price_in_pence,topup_entitlement_type,topup_entitlement_unit,topup_entitlement_value,topup_entitlement_quantity,topup_entitlement_start_date,topup_entitlement_end_date,topup_passenger_class_id,topup_passenger_class_name,topup_passenger_class_quantity
5209d259-0bd8-451d-93f3-d11c9366d98b,Academic Year Tickets,Academic Year tickets for school- college and university students.,b1219e71-bb8b-4581-9fe0-68b26234908d,Bilborough College Academic Year 2025/6,Unlimited travel on all NCT buses in the City Zone. No refunds after 31.03.26.,29900,fixed_date,,,,2025-08-31T23:00:00+00:00,2026-07-31T22:59:00+00:00,student,Student,1
5209d259-0bd8-451d-93f3-d11c9366d98b,Academic Year Tickets,Academic Year tickets for school- college and university students.,a423d2e2-d684-44b1-ade5-ba881438d674,NTU Academic Year 2025/6,Unlimited travel on all NCT buses in the City Zone and Outer Zone (including to Brackenhurst). No refunds after 31.03.26.,29900,fixed_date,,,,2025-08-31T23:00:00+00:00,2026-07-31T22:59:00+00:00,student,Student,1
5209d259-0bd8-451d-93f3-d11c9366d98b,Academic Year Tickets,Academic Year tickets for school- college and university students.,2d4d03ac-de35-4588-a894-c4bd22590910,Student Academic Year Further 2025/6,Unlimited travel on all NCT buses in the City Zone and Outer Zone. No refunds after 31.03.26.,48900,fixed_date,,,,2025-08-31T23:00:00+00:00,2026-07-31T22:59:00+00:00,student,Student,1
5209d259-0bd8-451d-93f3-d11c9366d98b,Academic Year Tickets,Academic Year tickets for school- college and university students.,7bd1113b-a3cc-41c3-b97b-fffdedd88fb4,Student Academic Year 2025/6,Unlimited travel on all NCT buses in the City Zone. No refunds after 31.03.26.,29900,fixed_date,,,,2025-08-31T23:00:00+00:00,2026-07-31T22:59:00+00:00,student,Student,1
5209d259-0bd8-451d-93f3-d11c9366d98b,Academic Year Tickets,Academic Year tickets for school- college and university students.,7c761a4e-83ed-447f-8b26-632db1320696,Under 19 Academic Year 2025/6,Unlimited travel on all NCT buses in the City Zone. No refunds after 31.03.26.,29900,fixed_date,,,,2025-08-31T23:00:00+00:00,2026-07-31T22:59:00+00:00,child,Under 19,1
5209d259-0bd8-451d-93f3-d11c9366d98b,Academic Year Tickets,Academic Year tickets for school- college and university students.,c95b300a-b888-45db-adaf-b24ddbfb6ef3,Under 19 Academic Year Further 2025/6,Unlimited travel on all NCT buses in the City Zone and Outer Zone. No refunds after 31.03.26.,48900,fixed_date,,,,2025-08-31T23:00:00+00:00,2026-07-31T22:59:00+00:00,child,Under 19,1
5209d259-0bd8-451d-93f3-d11c9366d98b,Academic Year Tickets,Academic Year tickets for school- college and university students.,8fe7f5e5-d483-40a5-aed8-1439818dcaf8,UON Academic Year 2025/6,Unlimited travel on all NCT buses in the City Zone. No refunds after 31.03.26.,29900,fixed_date,,,,2025-08-31T23:00:00+00:00,2026-07-31T22:59:00+00:00,student,Student,1
1e41e45d-43dc-4005-afe1-d0cccf2c4be1,Single Tickets - City Zone,Single journeys on NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,d6a9f2b7-9837-43a5-b160-3fd8b7a11625,Adult Single,Valid for a single journey on any NCT Bus- anywhere!,300,flexible,minutes,10,1,,,adult,Adult,1
1e41e45d-43dc-4005-afe1-d0cccf2c4be1,Single Tickets - City Zone,Single journeys on NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,fade0372-1aec-4251-9326-c9cdd9a17786,Adult Single 10 Trips,10 single journeys on any NCT Bus- anywhere!,2700,flexible,minutes,10,10,,,adult,Adult,1
1e41e45d-43dc-4005-afe1-d0cccf2c4be1,Single Tickets - City Zone,Single journeys on NCT buses in the City Zone. Tickets available for Adults- Under 19s- Students and Under 22s.,ef935895-f6f8-4bd6-8cae-076fad669a8e,Under 19 Single,Valid for a single journey on any NCT Bus in the City Zone.,200,flexible,minutes,10,1,,,child,Under 19,1
